Date,BA,GE,MMM,HON
2004-03-25,28.309029,17.992048,56.797222,23.402857
2004-03-26,28.045322,18.234358,56.06815699999999,23.566614
2004-03-29,28.458694,18.464561,56.643002,23.815813000000002
2004-03-30,28.743769,18.591776,57.259899,24.036524
2004-03-31,29.271190999999998,18.488794,57.393101,24.100601
2004-04-01,29.057375,18.549376000000002,56.818259999999995,24.114843
2004-04-02,29.819992,18.815931,57.330006000000004,24.378273
2004-04-05,30.31888,19.13093,58.010017000000005,24.91938
2004-04-06,30.190592,19.094585000000002,58.066063,24.947861
2004-04-07,29.762966,19.021893,58.010017000000005,24.64883
2004-04-08,29.470748999999998,19.027946,57.785679,24.677313
2004-04-12,30.040932,19.155167000000002,58.619911,24.926502
2004-04-13,29.77722,18.779577,57.757622,24.63459
2004-04-14,29.627539000000002,18.464561,57.946888,24.549154
2004-04-15,29.599051,18.634184,58.080101,24.563389
2004-04-16,29.577646,18.918903,58.697037,24.962101
2004-04-19,29.570528000000003,18.840158,58.718025,24.655945000000003
2004-04-20,28.900571999999997,18.458504,58.325455000000005,24.207397
2004-04-21,29.11438,18.597835999999997,58.851242000000006,24.186039
2004-04-22,30.12645,18.688707,60.954322999999995,24.63459
2004-04-23,30.25474,18.591776,61.620289,24.833939
2004-04-26,30.817781,18.628126,61.515133,24.748514
2004-04-27,31.038717,18.506964,61.956787,25.232657999999997
2004-04-28,31.380831,18.185898,60.793094999999994,25.040426
2004-04-29,30.824890000000003,18.204067000000002,60.372459,25.083134
2004-04-30,30.425781,18.14349,60.624825,24.620345999999998
2004-05-03,31.060102,18.355516,61.010406,24.613224
2004-05-04,30.846279,18.440331,60.63887,24.791224
2004-05-05,31.188389,18.470619,60.113082999999996,24.641707999999998
2004-05-06,31.309546,18.458504,59.426064000000004,24.463713000000002
2004-05-07,30.931808,18.173779,59.187743999999995,24.150442
2004-05-10,30.354516999999998,18.191963,58.563816,23.680533999999998
2004-05-11,30.775019,18.325232,58.991420999999995,23.737495000000003
2004-05-12,31.060102,18.416103,59.832664,23.765972
2004-05-13,31.088608,18.385813,59.243805,23.865644
2004-05-14,30.960325,18.270702,58.75309,23.837166
2004-05-17,30.454280999999998,18.155603,58.339489,23.210619
2004-05-18,30.660984000000003,18.434267000000002,58.26938199999999,23.803933999999998
2004-05-19,31.061971999999997,18.325232,57.952564,23.839735
2004-05-20,30.732576,18.31311,57.875099,23.646383
2004-05-21,31.076280999999998,18.567547,58.382023,23.854063
2004-05-24,31.906906,18.646297,58.121517000000004,23.789606
2004-05-25,32.00713,18.906794,58.88895,24.061737
